45.14.13.,,,Quantile regression
45.14.18.,,,Order statistics empirical distribution functions
45.14.19.,,,Statistics extreme values tail inference
45.16.,,Multivariate analysis,
45.16.1.,,,Characterization structure multivariate probability distributions copulas
45.16.2.,,,Multivariate distribution statistics
45.16.3.,,,Directional data spatial statistics
45.16.4.,,,Estimation multivariate analysis
45.16.5.,,,Hypothesis testing multivariate analysis
45.16.6.,,,Contingency tables
45.16.7.,,,Measures association correlation canonical correlation
45.16.8.,,,Probabilistic graphical models
45.16.9.,,,Factor analysis principal components correspondence analysis
45.16.10.,,,Classification discrimination cluster analysis statistical mixture models
45.16.11.,,,Image analysis multivariate analysis
45.16.12.,,,Multivariate analysis fuzziness
45.17.,,Linear inference regression,
45.17.1.,,,General nonlinear regression
45.17.2.,,,Linear regression mixed models
45.17.3.,,,Ridge regression shrinkage estimators Lasso
45.17.4.,,,Analysis variance covariance ANOVA
45.17.5.,,,Generalized linear models logistic models
45.17.6.,,,Paired multiple comparisons multiple testing
45.17.7.,,,Diagnostics linear inference regression
45.17.8.,,,Fuzziness linear inference regression
45.18.,,Design statistical experiments,
45.18.1.,,,Optimal statistical designs
45.18.2.,,,Statistical block designs
45.18.3.,,,Factorial statistical designs
45.18.4.,,,Response surface designs
45.18.5.,,,Robust parameter designs
45.18.6.,,,Fuzziness design statistical experiments
45.19.,,Sequential statistical ,
45.20.,,Inference from stochastic processes,
45.20.1.,,,Markov processes hypothesis testing
45.20.2.,,,Markov processes estimation hidden Markov models
45.20.5.,,,Time series auto-correlation regression statistics GARCH
45.20.6.,,,Inference from stochastic processes spectral analysis
45.20.7.,,,Inference from stochastic processes prediction filtering
45.20.8.,,,Inference from spatial processes
45.20.9.,,,Random fields image analysis
45.20.10.,,,Neural nets approaches inference from stochastic processes
45.20.11.,,,Inference from stochastic processes fuzziness
45.21.,,Survival analysis censored data,
45.21.1.,,,Censored data models
45.21.2.,,,Estimation survival analysis censored data
45.21.3.,,,Testing survival analysis censored data
45.21.4.,,,Reliability life testing
45.21.5.,,,Fuzziness survival analysis censored data
45.22.,,Applications statistics,
45.24.,,Statistics on algebraic topological structures,
45.24.1.,,,Algebraic statistics
45.24.2.,,,Statistical big data data 
45.24.3.,,,Functional data analysis
45.24.4.,,,Statistics on metric spaces
45.24.5.,,,Statistics on manifolds
45.24.6.,,,Topological data analysis
46,Numerical analysis,,
46.8.,,Tables numerical analysis,
46.9.,,Acceleration convergence numerical analysis,
46.10.,,Probabilistic stochastic differential equations,
46.10.1.,,,Monte Carlo 
46.10.2.,,,Random number generation numerical analysis
46.10.3.,,,Probabilistic models generic numerical probability statistics
46.11.,,Numerical approximation computational geometry primarily ,
46.11.1.,,,Numerical interpolation
46.11.2.,,,Numerical computation using splines
46.11.3.,,,Numerical smoothing curve fitting
46.11.4.,,,Numerical radial basis function approximation
46.11.5.,,, approximation functions
46.11.6.,,,Computer-aided design modeling curves surfaces
46.11.7.,,,Numerical computer graphics image analysis computational geometry
46.11.8.,,,Computer robotic vision
46.11.10.,,,Numerical differentiation
46.11.11.,,,Numerical integration
46.13.,,Numerical linear algebra,
46.13.1.,,,Direct numerical linear systems matrix inversion
46.13.2.,,,Preconditioners iterative 
46.13.3.,,,Iterative numerical linear systems
46.13.4.,,,Numerical computation eigenvalues eigenvectors matrices
46.13.5.,,,Numerical solutions inverse eigenvalue 
46.13.6.,,,Numerical solutions overdetermined systems pseudoinverses
46.13.7.,,,Ill-posedness regularization numerical linear algebra
46.13.8.,,,Orthogonalization numerical linear algebra
46.13.9.,,,Numerical computation matrix norms conditioning scaling
46.13.11.,,,Numerical matrix equations
46.13.12.,,,Computational sparse matrices
46.13.13.,,,Numerical low-rank matrix approximation matrix compression
46.13.14.,,,Numerical computation matrix exponential similar matrix functions
46.14.,,Error analysis interval analysis,
46.14.2.,,,Interval finite arithmetic
46.14.3.,,,General interval analysis
46.16.,,Numerical mathematical programming optimization variational techniques,
46.16.1.,,,Numerical mathematical programming 
46.16.2.,,,Numerical optimization variational techniques
46.17.,,Numerical ordinary differential equations,
46.17.1.,,,Numerical functional-differential equations
46.17.6.,,,Numerical solution ill-posed involving ordinary differential equations
46.17.7.,,,Numerical solution inverse involving ordinary differential equations
46.17.10.,,,Finite difference finite volume ordinary differential equations
46.21.,,Graphical numerical analysis,
46.21.1.,,,Graphical numerical analysis
46.22.,,Numerical Fourier analysis,
46.22.1.,,,Numerical trigonometric approximation interpolation
46.22.2.,,,Numerical discrete fast Fourier transforms
46.22.3.,,,Numerical wavelets
46.23.,,Computer numerical ,
46.23.1.,,,Numerical computer arithmetic
46.23.2.,,,Parallel numerical computation
46.23.3.,,,Numerical specific classes architectures
46.23.4.,,,Packaged numerical 
46.23.5.,,,Complexity performance numerical 
47,Computer ,,
47.9.,, data,
47.9.1.,,, data
47.9.2.,,,Data structures
47.9.3.,,,Searching sorting
47.9.4.,,,Database 
47.9.5.,,,Information storage retrieval data
47.9.6.,,,Data encryption computer 
47.9.7.,,,Privacy data
47.9.8.,,,Coding information compaction compression models communication encoding
47.10.,, ,
47.10.14.,,, information Kolmogorov complexity
47.10.15.,,,Computational learning 
47.10.18.,,,Semantics 
47.10.19.,,,Abstract data types algebraic specification
47.11.,,Discrete mathematics relation computer ,
47.11.4.,,,Graph graph drawing computer 
47.11.5.,,,Metric embeddings as computational 
47.11.6.,,,Combinatorics on words
47.12.,,Artificial intelligence,
47.12.1.,,,General topics artificial intelligence
47.12.2.,,,Learning adaptive systems artificial intelligence
47.12.3.,,,Artificial neural networks deep learning
47.12.4.,,,Computational data analysis big data
47.12.5.,,,Pattern recognition speech recognition
47.12.6.,,, solving heuristics search strategies
47.12.7.,,,Logic artificial intelligence
47.12.8.,,,Knowledge representation
47.12.9.,,, languages software systems knowledge-based systems expert systems
47.12.10.,,,Reasoning under uncertainty
47.12.11.,,,Robotics
47.12.12.,,,Agent technology
47.12.13.,,,Machine vision scene understanding
47.12.14.,,,Natural language processing 
47.13.,, applications,
47.13.3.,,,Computer graphics computational geometry digital 
47.13.5.,,, image processing
47.13.6.,,, text processing mathematical typography
47.13.7.,,, information systems hypertext navigation interfaces decision support
47.15.,, computer ,
47.15.3.,,,Parallel computer 
47.15.4.,,,Distributed 
47.15.5.,,,Randomized 
47.15.6.,,,Approximation 
47.15.7.,,,Online streaming 
47.15.8.,,,Symbolic computation algebraic computation
47.15.9.,,, on strings
47.15.12.,,,Evolutionary genetic 
57,Geophysics,,
57.6.,,Geophysics,
57.6.1.,,,Climate climate modeling
57.6.2.,,,Meteorology atmospheric physics
57.6.3.,,,Seismology tsunami modeling earthquakes
57.6.4.,,,Potentials prospecting
57.6.5.,,,Inverse geophysics
57.6.6.,,,Geo-electricity geomagnetism
57.6.7.,,,Geodesy mapping 
57.6.8.,,,Geostatistics
57.6.9.,,,Glaciology
58,Operations research mathematical programming,,
